x y z nx ny nz state
1300.68 874.562 1747.46 0.121491 0.90609 0.405267 1
1301.27 885.052 1747.3 0.0303109 -0.990808 0.131839 1
1299.76 901.414 1749.01 0.168061 -0.8768 -0.45053 1
1300.85 893.895 1745.56 -0.0211847 0.862212 -0.506104 1
1293.62 908.236 1745.85 0.86791 0.396666 -0.298978 1
1299.97 867.371 1746.26 -0.743771 -0.038693 0.667314 1
1301.3 883.101 1745.52 0.0224522 -0.427509 -0.903732 1
1299.96 867.095 1745.79 0.541115 -0.560065 0.627313 1
1300.93 875.88 1747.78 -0.705765 -0.629795 0.324428 1
1299.55 902.87 1745.64 -0.996366 0.0388556 0.0757907 1
1299.54 864.667 1747.19 0.843958 0.533201 0.0585759 1
1300.73 892.514 1747.83 0.259372 0.792133 -0.552497 1
1300.27 896.795 1748.79 -0.931091 -0.277988 0.236203 1
1300.86 874.384 1747.46 0.0757746 0.39698 -0.914694 1
1301.27 883.204 1746.38 -0.360592 0.852476 0.378494 1
1300.33 870.311 1747.88 -0.345128 0.936449 0.0628504 1
1300.3 870.281 1747.89 -0.945916 0.174661 0.273378 1
1299.54 901.843 1748.34 -0.870431 -0.367305 -0.327774 1
1300.24 871.731 1748.56 -0.343518 0.652326 0.675622 1
1296.12 891.622 1748.22 0.0747776 0.072486 0.994562 1
