x z szz sxx pp state
1291.98 1779.23 -382731 -313126 0 4
1349.26 1795.81 -691619 -298376 0 4
1341.39 1781.59 -775587 -381810 0 4
1347.7 1798.73 -533936 -303027 0 0
1335.77 1782.6 -663265 -378025 0 4
1291.77 1799.22 79939.3 -111649 0 8
1267.99 1799.22 86939.9 -75033.7 0 8
1347.64 1799.25 -532794 -303071 0 0
1344.12 1797.92 -471917 -282682 0 0
1328.04 1799.25 -137355 -138985 0 0
1250.76 1793.4 -96832.8 9080.4 0 8
1271.98 1799.16 88068 -76239.8 0 8
1250.76 1791.53 -116965 2333.82 0 8
1298.65 1779.84 -360036 -320878 0 4
1250.99 1782.05 -210198 -91513.6 0 4
1269.08 1778.65 -381681 -255813 0 0
1304.7 1780.1 -390194 -341654 0 4
1273.81 1778.66 -377554 -268271 0 0
1251.44 1777.32 -253743 -62178.3 0 4
1348.44 1799.49 -540681 -304186 0 0
1251 1798.32 -68772.6 30452.6 0 8
1292.71 1779.51 -377619 -309572 0 4
1274.25 1788.08 -168018 -157717 0 0
1282.74 1797.04 78083.3 -107560 0 8
1348.3 1791.62 -737938 -312312 0 4
1347.24 1793.03 -609102 -262356 0 4
1290.02 1792.36 -73463.9 -164227 0 0
1259.63 1783.59 -237671 -114341 0 0
1334.6 1785.77 -556623 -332704 0 4
1335.77 1786.81 -576357 -343497 0 4
1311.23 1781.76 -400488 -340414 0 4
1311.2 1783.4 -346356 -314722 0 4
1260.53 1780.53 -294833 -148484 0 0
1325.75 1786.69 -413449 -303055 0 4
1324.25 1773.9 -711780 -395605 0 0
1325 1772.57 -742585 -399811 0 0
1322.15 1773.72 -710985 -409836 0 0
1294.77 1771.64 -554930 -419108 0 0
1286.61 1771.46 -587877 -393864 0 0
1261.96 1776.35 -409224 -241631 0 0
1295.79 1770.93 -559616 -425861 0 0
1295.32 1770.45 -565115 -425839 0 0
1323.54 1771.46 -741293 -390741 0 0
1284.98 1771.44 -566656 -378615 0 0
1294.31 1771.16 -555722 -417157 0 0
1309.65 1774.71 -557793 -400805 0 0
1284.49 1771.61 -567347 -385545 0 0
1321.65 1775.97 -614180 -375405 0 0
1306.74 1775.18 -511426 -392372 0 0
1345.62 1774.32 -918747 -322679 0 0
1261.92 1771.62 -475866 -293864 0 0
1323.04 1777.39 -614131 -403494 0 0
1297.17 1771.18 -558118 -422229 0 0
1283.52 1770.49 -590527 -379527 0 0
1309.39 1776.38 -511615 -385319 0 0
1279.98 1771.1 -567159 -370532 0 0
1308.09 1771.68 -607887 -417160 0 0
1278.45 1771.69 -556213 -370025 0 0
1307.43 1776.79 -496895 -396332 0 0
1283.9 1770.08 -599059 -382232 0 0
1298.56 1770.63 -553597 -428357 0 0
1345.84 1773.45 -935000 -341878 0 0
1346.06 1772.06 -939006 -365228 0 0
1258.53 1773.89 -441360 -222684 0 0
1297.02 1771.62 -553836 -420348 0 0
1348.33 1774.99 -881527 -306071 0 0
1251.11 1769.64 -397299 -198133 0 12
1251.96 1768.74 -429748 -187411 0 0
1252.19 1772.08 -403852 -190032 0 12
1284.59 1774.86 -474748 -349652 0 0
1344.17 1774.9 -876237 -327530 0 0
1258.28 1771.09 -453321 -224316 0 4
1293.95 1771.22 -562531 -424652 0 0
1279.79 1775.66 -463747 -348105 0 0
1282.26 1771.56 -570494 -376679 0 0
1309.12 1772 -613412 -416804 0 0
1299.42 1770.03 -568653 -438792 0 0
1304.92 1770.82 -579515 -421241 0 0
1313.57 1772.12 -643256 -387028 0 0
1332.34 1772.78 -827775 -406799 0 0
1284 1773.06 -538040 -370455 0 0
1282.5 1773.04 -529957 -366936 0 0
1325.42 1774.25 -729350 -404760 0 0
1282.32 1774.91 -477076 -344418 0 0
1257.98 1774.79 -413404 -208912 0 0
1302.24 1771.02 -551699 -427932 0 0
1287.35 1770.74 -603540 -391291 0 0
1348.8 1773.86 -933420 -321374 0 0
1283.44 1776.16 -460583 -357204 0 0
1348.94 1776.07 -904119 -319012 0 0
1345.84 1772.93 -929492 -341243 0 0
1278.4 1775.6 -462932 -333451 0 0
1315.3 1773.02 -652313 -400305 0 0
1326.6 1773.12 -767066 -402856 0 0
1298.83 1771.36 -554101 -432043 0 0
1329.96 1774.28 -763692 -395686 0 0
1278.72 1772.04 -555699 -370898 0 0
1300.49 1776.14 -457369 -393086 0 0
1328.56 1773.24 -775545 -399355 0 0
1305.57 1770.26 -596789 -420035 0 0
1349.39 1779.42 -839705 -242338 0 0
1349.52 1779.39 -840066 -242133 0 0
1329.24 1776.47 -696577 -370904 0 0
1348.46 1778.27 -850061 -274918 0 0
1348.33 1776.8 -883155 -285659 0 0
1272.57 1772.12 -518907 -345082 0 0
1314.72 1771.58 -670621 -402888 0 0
1297.86 1770.34 -562093 -426780 0 0
1313.69 1774.84 -593520 -400553 0 0
1310.4 1777.5 -495766 -388704 0 0
1325.78 1776.43 -672608 -385058 0 0
1308.02 1774.2 -542709 -398436 0 0
1297.7 1770.77 -560005 -426205 0 0
1272.07 1770.71 -556325 -355757 0 0
1327.24 1777.55 -667200 -394594 0 0
1311.3 1776.63 -514860 -388024 0 0
1314.41 1774.39 -599189 -391564 0 0
1314.58 1773.47 -640081 -410673 0 0
1274.44 1774.38 -474256 -326238 0 0
1315.85 1771.04 -682639 -389565 0 0
1281.25 1770.54 -584801 -372786 0 0
1301.64 1770.44 -552506 -426913 0 0
1295.08 1773 -515016 -403781 0 0
1275.58 1769.78 -572365 -370563 0 0
1273.18 1775.46 -452776 -320471 0 0
1287.44 1769.52 -617598 -394462 0 0
1274.22 1772.19 -535035 -356507 0 0
1308.49 1771.11 -631352 -418444 0 0
1301.49 1777.14 -436170 -388691 0 0
1280.85 1770.09 -589652 -377344 0 0
1320.18 1776.31 -605723 -383825 0 0
1259.21 1769.9 -474325 -256947 0 4
1302.77 1776.63 -454056 -380274 0 0
1310.8 1775.02 -575621 -409083 0 0
1334.31 1772.86 -825664 -397022 0 0
1296.63 1775.54 -467780 -392397 0 0
1316.35 1778.52 -536361 -395140 0 0
1263.87 1774.88 -433466 -254484 0 0
1304.12 1773.75 -510628 -403181 0 0
1294.28 1773.98 -507672 -395948 0 0
1278.46 1774.38 -483366 -343699 0 0
1295.36 1775.64 -457829 -391233 0 0
1314.35 1776.7 -534346 -377146 0 0
1271.93 1774.37 -472851 -321577 0 0
1317.57 1775.63 -586946 -380765 0 0
1310.68 1772.13 -625441 -403775 0 0
1348.9 1779.23 -848094 -245967 0 0
1347.84 1778.11 -863576 -270801 0 0
1253.95 1775.31 -390669 -151655 0 8
1274.61 1770.79 -560133 -370838 0 0
1252.02 1770.76 -407110 -189631 0 12
1319.71 1773.99 -684581 -409575 0 0
1330.31 1777.47 -688912 -379135 0 0
1279.85 1771.01 -578260 -378805 0 0
1293.4 1770.32 -567227 -411156 0 0
1290.01 1776.83 -449126 -367913 0 0
1301.46 1777.48 -432663 -391664 0 0
1336.51 1774.47 -836078 -389300 0 0
1276.45 1770.35 -570217 -363006 0 0
1304.61 1771.8 -564990 -425699 0 0
1251.34 1770.58 -402628 -190013 0 12
1250.43 1768.43 -395766 -200019 0 12
1250.43 1769.46 -394164 -198673 0 12
1286.16 1777.46 -450954 -358308 0 0
1298.79 1772.76 -517239 -418157 0 0
1297.45 1775.8 -465183 -380838 0 0
1319.09 1777.26 -586937 -391111 0 0
1253.88 1770.64 -441497 -199423 0 4
1312.04 1772.69 -639210 -412899 0 0
1326.11 1771.74 -768192 -399571 0 0
1344.63 1779.6 -788505 -269081 0 0
1260.11 1769.32 -522547 -333517 0 0
1271.23 1769.74 -563661 -367248 0 0
1308.69 1773.55 -559228 -395969 0 0
1306.23 1770.91 -589218 -409900 0 0
1253.98 1769.68 -435846 -183295 0 12
1330.45 1772.95 -786315 -394559 0 0
1303.01 1774.39 -507759 -411866 0 0
1307.54 1771.95 -598212 -417668 0 0
1338.48 1773.39 -863267 -390264 0 0
1342.94 1777.69 -846689 -306401 0 0
1343.61 1774.1 -893281 -337802 0 0
1340.15 1773.64 -872950 -366055 0 0
1306.89 1777.84 -462447 -385743 0 0
1267.23 1774.07 -468167 -303939 0 0
1277.84 1770.86 -569691 -363923 0 0
1329.05 1771.91 -801081 -404901 0 0
1330.27 1777.99 -705669 -379625 0 0
1297.58 1773.06 -506508 -409352 0 0
1265.89 1775.15 -431021 -274931 0 0
1305.33 1771.71 -580945 -425137 0 0
1271.45 1775.22 -447642 -315105 0 0
1311.38 1778.52 -501940 -392051 0 0
1304.39 1774.96 -513730 -410606 0 0
1290.28 1771.31 -572560 -406579 0 0
1326.57 1779.01 -641163 -393750 0 0
1314.9 1777.68 -524535 -385472 0 0
1250.61 1774.88 -357092 -127750 0 8
1250.61 1773.37 -371755 -134740 0 8
1349.39 1772.65 -948226 -327547 0 0
1349.39 1773.74 -933079 -318504 0 0
1274.94 1775.82 -448415 -327968 0 0
1277.56 1770.5 -574072 -364614 0 0
1347.27 1775.04 -872833 -301817 0 0
