x z szz sxx pp state
1017.49 1729.09 -166557 -151092 0 0
941.143 1702.93 -464494 -405057 0 0
893.792 1705.34 -158975 -187331 0 0
876.796 1702.54 -145469 -182904 0 0
666.255 1699.33 -216942 -214527 0 0
1339.34 1837 -70727.3 -18644.5 0 0
1154.26 1757.71 -67219.4 -59558 0 0
1153.81 1760.95 -67240.1 -54585.1 0 0
1101.36 1746.19 -216343 -162533 0 0
1029.28 1690.64 -1.06276e+06 -736380 0 0
1045.59 1740.8 -143220 -138052 0 0
682.183 1692.52 -315584 -304438 0 0
1069.38 1745.12 -153597 -112903 0 0
976.957 1722.87 -144064 -153359 0 0
902.487 1712.21 -165490 -179272 0 0
906.826 1697.81 -440355 -383030 0 0
919.077 1683.41 -874107 -638555 0 0
966.619 1705.94 -493539 -402410 0 0
689.697 1690.53 -310675 -308879 0 0
696.597 1695.17 -206151 -243429 0 0
710.65 1692.03 -202215 -261821 0 0
702.682 1690.7 -293045 -313620 0 0
648.422 1699 -307412 -270786 0 0
1107.17 1753.87 -111324 -89490.9 0 0
966.202 1715.35 -288153 -270149 0 0
718.734 1670.51 -532355 -486796 0 0
721.295 1691.09 -177156 -260741 0 0
852.845 1693.48 -211250 -261291 0 0
700.117 1696.86 -99930.2 -156939 0 0
870.553 1697.43 -141145 -182626 0 0
692.224 1702.03 -99714.2 -158698 0 0
968.48 1701.17 -655923 -497346 0 0
1151.39 1762.09 -62870.2 -52726.6 0 0
646.982 1701.91 -205596 -199543 0 0
639.937 1707 -98152.9 -111625 0 0
1201.72 1751.65 -475521 -319635 0 0
1118.33 1756.06 -106715 -74210.2 0 0
659.921 1697.12 -201652 -186742 0 0
708.992 1694.56 -117101 -201467 0 0
1266.61 1795.04 -89236 -69757.2 0 0
954.354 1717.82 -175388 -196413 0 0
1137.57 1758.67 -87286.2 -62537.9 0 0
854.031 1694.44 -113140 -195521 0 0
711.795 1688.54 -185459 -256738 0 0
724.8 1687.75 -98975.3 -218309 0 0
1140.67 1760.58 -90048.2 -66091.4 0 0
673.998 1702.44 -112610 -133180 0 0
716.608 1695.8 -105431 -201182 0 0
