x z
1300.96 1748.87
1296.65 1748.86
1296.68 1746.95
1296.68 1747.15
1301.08 1745.35
1297.42 1749.52
1300.63 1748.98
1296.42 1745.32
1299.68 1749.91
1300.48 1749.17
1301.14 1747.73
1297.69 1749.91
1301.08 1747.12
1301.22 1748.23
1296.54 1748.35
1301.1 1747.99
1296.62 1745.99
1301.27 1746.78
1296.49 1745.42
1299.31 1750.16
1296.53 1746.82
1301.28 1746.28
1296.51 1746.88
1296.4 1747.24
1297.69 1749.86
1301.23 1745.78
1301.01 1747.15
1300.65 1749.38
1300.92 1749.02
1301.08 1748.22
1299.59 1749.86
1296.53 1745.45
1301.1 1745.79
1301.19 1748.01
1301.06 1748.29
1299.05 1750.03
1301.14 1746.9
1301.16 1747.25
1296.79 1748.47
1299.65 1749.92
1296.49 1746.33
1296.89 1749.03
1298.5 1749.97
1296.55 1746.8
1296.56 1748.11
1296.52 1747.08
1301.02 1748.46
1300.97 1748.31
1299.77 1749.71
1296.51 1745.63
1301.08 1747.7
1296.66 1747.14
1299.87 1749.84
1301.18 1745.93
1297.63 1749.7
1298.57 1749.99
1301.29 1745.34
1296.48 1747.96
1296.77 1748.61
1301.25 1745.21
1299.33 1749.87
1296.68 1745.84
1298.64 1750.19
1300.49 1749.38
1299.49 1750.07
1301.23 1746.08
1298.68 1750.15
1301.19 1745.25
1298.76 1749.94
1299.06 1750.08
1299.89 1749.9
1297.04 1749.41
1296.64 1748.78
1301.24 1748.08
1296.79 1745.09
1301.15 1748.49
1299.78 1749.87
1298.89 1750.01
1297.02 1749.21
1301.13 1746.75
1296.69 1748.53
1296.47 1748.37
1301.07 1747.13
1297.29 1749.35
1296.39 1747.63
1299.9 1749.66
1300.85 1748.71
1299.31 1750.04
1301.23 1748.16
1296.39 1747.48
1301.26 1746.65
1298.75 1750.18
1301.27 1746.81
1296.7 1745.48
1298.9 1750.14
1301.28 1746.78
1297.36 1749.53
1301.21 1745.14
1297.68 1749.74
1301.15 1744.96
1296.46 1747.96
1296.43 1745.56
1296.85 1748.74
1296.54 1746.3
1301.15 1746.93
1296.55 1745.39
1296.58 1745.39
1298.98 1750.18
1301.12 1746.8
1300.2 1749.46
1301.09 1746.16
1301.07 1746.96
1300.89 1745.09
1301.01 1746.59
1299.89 1749.74
1300.62 1749.19
1296.62 1746.51
1301.24 1748.13
1296.68 1746.83
1297.48 1749.61
1296.54 1746.58
1301.18 1747.7
1300.03 1749.8
1296.39 1747.57
1297.45 1749.66
1296.69 1746.09
1296.59 1746.87
1298.2 1749.99
1301 1747.68
1299.26 1750.16
1296.5 1748.43
1301.17 1748.43
1296.65 1748.68
1296.5 1745.03
1299.19 1750.05
1298.61 1749.99
1296.72 1745.13
1301.12 1748.37
1299.18 1750.1
1301.03 1745.42
1298.35 1750.15
1297.95 1750.02
1296.45 1745.08
1301.12 1747.37
1298.81 1750.03
1301.22 1747.44
1297.65 1749.8
1301.29 1745.75
1296.63 1748.2
1296.6 1746.67
1301.01 1747.83
1301.28 1746.52
1301.03 1748.69
1296.69 1748.55
1296.51 1747.53
1296.47 1748.41
1298.39 1750.08
1297.42 1749.62
1301.13 1746.24
1299.15 1750.08
1296.86 1749.2
1296.56 1746.62
1296.85 1744.95
1296.77 1744.96
1300.95 1748.36
1296.7 1745.25
1300.09 1749.85
1297.01 1748.97
1301.03 1745.77
1301.03 1745.59
1300.96 1748.82
1301.1 1746.14
1298.38 1750.18
1301.03 1745.45
1301.28 1745.78
1297.06 1749.13
1301.12 1747.81
1296.41 1746.41
1301.09 1748.02
1297.2 1749.53
1301.2 1748.23
1298.08 1749.84
1296.52 1748.2
1298.94 1749.94
1301.21 1746.64
1300.95 1745.02
1296.93 1748.84
1299.2 1750.18
1300 1749.6
1296.5 1748.44
1298.68 1750.07
1301.07 1746.42
1296.84 1748.69
1301.23 1746.22
1296.58 1748.67
1296.67 1747.22
1296.47 1747.84
1296.4 1747.82
1296.67 1745.19
1296.41 1746.26
1297.19 1749.57
1297.57 1749.62
1301.05 1748.1
1299.47 1749.92
1298.46 1749.98
1300.84 1748.76
1301.03 1745.38
1300.86 1748.84
