x y z state
1300.9 878.692 1745.85 1
1300.9 878.62 1745.85 1
1299.01 862.22 1745.75 1
1295.74 869.013 1747.86 1
1296.05 874.195 1746.41 1
1301.25 881.747 1747.48 1
1301.21 881.731 1747.53 1
1296.4 876.367 1747.03 1
1299.37 863.662 1745.41 1
1296.03 874.86 1745.73 1
1296.07 874.82 1745.74 1
1296.06 873.866 1745.54 1
1296.05 873.905 1745.55 1
1296.09 873.933 1745.53 1
1295.35 868.72 1747.48 1
1295.41 868.725 1747.48 1
1300.59 896.047 1747.82 1
1295.92 873.019 1746.26 1
1295.97 871.832 1745.39 1
1295.57 870.581 1745.92 1
1295.57 870.547 1745.99 1
1295.6 870.568 1745.96 1
1300.02 867.571 1746.36 1
1298.53 901.493 1750.52 1
1299.24 879.514 1749.69 1
1299.14 862.304 1745.77 1
1299.13 862.273 1745.74 1
1299.06 862.385 1745.8 1
1299.05 862.326 1745.77 1
1295.64 868.54 1747.98 1
1295.79 871.674 1745.31 1
1295.84 871.719 1745.31 1
1295.82 871.686 1745.32 1
1295.33 868.648 1746.93 1
1295.9 872.86 1746.84 1
1295.95 872.864 1746.78 1
1295.92 872.899 1746.84 1
1295.86 873.034 1746.72 2
1295.9 873.058 1746.76 1
1295.86 873.035 1746.81 1
1295.87 873.004 1746.75 2
1301.11 888.044 1747.53 1
1296.05 872.781 1747.17 1
1300.99 878.296 1745.59 1
1298.63 885.797 1750.05 1
1296.05 873.98 1745.65 1
1300.67 895.005 1748.11 1
1296.1 873.596 1746.47 1
1296.18 875.991 1747.32 1
1297.87 895.264 1750.53 1
1295.36 868.295 1746.37 1
1295.34 868.274 1746.39 1
1300.66 894.822 1748.51 1
1299.96 867.103 1745.67 1
1301.22 882.401 1747.66 1
1295.33 867.142 1746.6 1
1301.02 878.631 1745.65 1
1300.99 878.621 1745.68 1
1298.53 881.539 1750.02 1
1298.38 885.783 1750.2 1
1298.33 885.787 1750.18 1
1298.32 885.833 1750.19 1
1296.13 876.17 1746.16 1
1296.14 876.199 1746.11 1
1298.79 861.825 1745.69 1
1295.71 871.441 1745.85 1
1301.07 878.36 1746.14 1
1295.5 868.326 1746.24 1
1295.28 868.331 1745.35 1
