x z r
1297.17 1749.19 1.69492
1301.14 1746.49 4.26185
1301.2 1748.27 4.27413
1296.45 1745.1 2.4669
1297.78 1749.67 2.30786
1296.68 1746.49 1.06405
1297.21 1749.23 1.74171
1300.74 1748.77 3.95197
1298.46 1750.16 3.03522
1296.62 1747.93 0.573766
1301.27 1747.13 4.29104
1298.25 1749.95 2.75171
1298.19 1749.85 2.63545
1296.46 1746.43 1.19969
1296.63 1748.49 1.05392
1301.27 1747.19 4.27813
1299.52 1749.9 3.48509
1301.04 1748.58 4.18283
1301.06 1746.95 4.09689
1296.42 1745.25 2.32574
1301.17 1747.07 4.19171
1300.6 1749.45 4.0884
1296.63 1745.41 2.12099
1296.58 1746.15 1.4153
1296.4 1747.52 0.60158
1300.26 1749.6 3.88079
1296.52 1746.12 1.45849
1296.47 1747.82 0.621824
1301.12 1747.67 4.12471
1301.28 1746.43 4.41332
1296.4 1747.42 0.603774
1296.51 1746.11 1.47898
1297.29 1749.41 1.93501
1300.81 1748.9 4.05699
1301.28 1746.94 4.31588
1297.55 1749.53 2.10788
1301.01 1746.74 4.08041
1296.79 1745.1 2.4058
1297.65 1749.77 2.36403
1301.08 1748.18 4.13727
1296.68 1744.92 2.59851
1301.03 1748.26 4.1025
1296.62 1746.53 1.04143
1301.09 1746.84 4.14429
1299.77 1750.01 3.7393
1300.44 1749.61 4.03221
1300.76 1748.88 4.00877
1299.38 1750.01 3.45967
1301.3 1745.03 4.95561
1296.4 1747.69 0.632224
1300.39 1749.36 3.86896
1301.29 1746.1 4.51138
1301.24 1747.79 4.25326
1297.65 1749.72 2.31354
1300.77 1749.11 4.10192
1300.66 1749.06 3.97793
1300.86 1748.74 4.05524
1296.49 1745.92 1.65764
1296.54 1746.1 1.47002
1297.9 1749.93 2.5878
