x y z
1300.29 896.336 1749.37
1300.28 896.186 1749.41
1300.24 896.787 1749.39
1300.23 896.637 1749.43
1300.18 897.237 1749.4
1300.17 897.087 1749.45
1300.12 897.538 1749.46
1300.92 885.075 1749.09
1300.89 884.925 1749.13
1300.92 885.526 1749.11
1300.89 885.375 1749.15
1300.91 885.976 1749.12
1300.88 885.826 1749.16
1300.9 886.426 1749.14
1300.87 886.276 1749.18
1300.89 886.877 1749.16
1300.86 886.727 1749.2
1300.87 887.327 1749.17
1300.85 887.177 1749.22
1300.86 887.778 1749.19
1300.83 887.628 1749.23
1300.84 888.228 1749.21
1300.81 888.078 1749.25
1300.82 888.679 1749.22
1300.8 888.529 1749.27
1300.8 889.129 1749.24
1300.78 888.979 1749.28
1300.78 889.58 1749.26
1300.75 889.429 1749.3
1300.75 890.03 1749.28
1300.73 889.88 1749.32
1300.72 890.48 1749.29
1300.7 890.33 1749.33
1300.69 890.931 1749.31
1300.67 890.781 1749.35
1300.66 891.381 1749.33
1300.64 891.231 1749.37
1300.63 891.832 1749.34
1300.61 891.682 1749.38
1300.6 892.282 1749.36
1300.58 892.132 1749.4
1300.56 892.733 1749.38
1300.54 892.583 1749.42
1300.52 893.183 1749.39
1300.51 893.033 1749.43
1300.48 893.634 1749.41
1300.47 893.483 1749.45
1300.44 894.084 1749.43
1300.43 893.934 1749.47
1300.4 894.535 1749.45
1300.38 894.384 1749.49
1300.35 894.985 1749.46
1300.34 894.835 1749.5
1300.31 895.435 1749.48
1300.29 895.285 1749.52
1300.26 895.886 1749.5
1300.24 895.736 1749.54
1300.2 896.336 1749.51
1300.19 896.186 1749.55
1300.15 896.787 1749.53
1300.14 896.637 1749.57
1300.1 897.237 1749.55
1300.08 897.087 1749.59
1300.04 897.688 1749.57
1300.03 897.538 1749.61
1299.97 897.988 1749.62
1300.83 885.075 1749.23
1300.8 884.925 1749.27
1300.82 885.526 1749.25
1300.79 885.375 1749.28
1300.81 885.976 1749.26
1300.78 885.826 1749.3
1300.8 886.426 1749.28
1300.77 886.276 1749.32
1300.79 886.877 1749.3
1300.76 886.727 1749.33
1300.78 887.327 1749.31
1300.75 887.177 1749.35
1300.76 887.778 1749.33
1300.73 887.628 1749.37
1300.74 888.228 1749.35
1300.72 888.078 1749.38
1300.73 888.679 1749.36
1300.7 888.529 1749.4
1300.7 889.129 1749.38
1300.68 888.979 1749.42
1300.68 889.58 1749.4
1300.66 889.429 1749.44
1300.66 890.03 1749.41
1300.63 889.88 1749.45
1300.63 890.48 1749.43
1300.61 890.33 1749.47
1300.6 890.931 1749.45
1300.58 890.781 1749.49
1300.57 891.381 1749.46
1300.55 891.231 1749.5
1300.54 891.832 1749.48
1300.52 891.682 1749.52
1300.5 892.282 1749.5
1300.48 892.132 1749.54
1300.47 892.733 1749.51
1300.45 892.583 1749.55
1300.43 893.183 1749.53
1300.41 893.033 1749.57
1300.39 893.634 1749.55
1300.37 893.483 1749.59
1300.35 894.084 1749.57
1300.33 893.934 1749.61
1300.3 894.535 1749.58
1300.29 894.384 1749.62
1300.26 894.985 1749.6
1300.24 894.835 1749.64
1300.21 895.435 1749.62
1300.19 895.285 1749.66
1300.16 895.886 1749.63
1300.14 895.736 1749.67
1300.11 896.336 1749.65
1300.09 896.186 1749.69
1300.06 896.787 1749.67
1300.04 896.637 1749.71
1300 897.237 1749.69
1299.99 897.087 1749.72
1299.94 897.688 1749.7
1299.93 897.538 1749.74
1299.89 898.138 1749.72
1299.87 897.988 1749.76
1299.81 898.438 1749.78
1300.73 885.075 1749.36
1300.69 884.925 1749.4
1300.72 885.526 1749.38
1300.69 885.375 1749.41
1300.71 885.976 1749.39
1300.68 885.826 1749.43
1300.7 886.426 1749.41
1300.67 886.276 1749.45
1300.69 886.877 1749.43
1300.66 886.727 1749.46
1300.68 887.327 1749.44
1300.64 887.177 1749.48
1300.66 887.778 1749.46
1300.63 887.628 1749.5
1300.64 888.228 1749.48
1300.61 888.078 1749.51
1300.62 888.679 1749.49
1300.59 888.529 1749.53
1300.6 889.129 1749.51
1300.57 888.979 1749.55
1300.58 889.58 1749.53
1300.55 889.429 1749.56
1300.55 890.03 1749.54
1300.53 889.88 1749.58
1300.53 890.48 1749.56
1300.5 890.33 1749.6
1300.5 890.931 1749.58
1300.47 890.781 1749.62
1300.47 891.381 1749.6
1300.44 891.231 1749.63
1300.43 891.832 1749.61
1300.41 891.682 1749.65
1300.4 892.282 1749.63
1300.38 892.132 1749.67
1300.36 892.733 1749.65
1300.34 892.583 1749.68
1300.33 893.183 1749.66
1300.3 893.033 1749.7
1300.29 893.634 1749.68
1300.26 893.483 1749.72
