x z pbsig pbstate
1301.08 1746.77 166.596 3
1296.58 1748.19 61.9007 3
1296.59 1748.14 287.424 3
1296.55 1748.16 142.939 3
1296.6 1748.15 32.1608 3
1298.14 1749.84 76.8961 3
1298.16 1749.88 63.4317 3
1301.13 1746.06 279.728 3
1301.12 1746.08 55.0211 3
1301.15 1746.04 37.9688 3
1301.11 1746.09 48.4735 3
1301.11 1746.05 614.131 3
1301.15 1746.09 259.441 3
1296.56 1747 6.50714 3
1296.56 1747 -68.1358 3
1296.6 1747.02 441.01 3
1301.27 1745.43 2007.76 3
1301.21 1745.41 101.844 3
1301.21 1745.42 -77.1346 3
1301.23 1745.38 -159.331 3
1301.25 1745.44 233.065 3
1301.24 1745.41 95.7362 3
1301.2 1745.4 450.014 3
1296.79 1748.55 -118.856 3
1297.26 1749.49 399.029 3
1297.22 1749.52 111.099 3
1301.13 1745.7 -389.995 3
1301.15 1745.74 172.665 3
1301.09 1745.72 139.851 3
1301.12 1747.98 -259.42 3
1301.12 1747.99 -461.359 3
1301.17 1747.94 -595.248 3
1301.11 1747.94 598.326 3
1297.02 1749.18 142.023 3
1296.6 1746.92 -35.7073 3
1296.61 1746.94 -83.3351 3
1296.64 1746.97 -188.457 3
1296.58 1746.97 646.817 3
1296.6 1746.94 -149.63 3
1296.84 1744.94 440.618 3
1296.83 1744.9 39.2397 3
1299.72 1750.02 406.542 3
1297.62 1749.58 110.219 3
1297.58 1749.6 -47.4826 3
1296.6 1748.65 43.0467 3
1296.62 1748.6 352.298 3
1296.66 1748.61 832.417 3
1296.62 1748.63 -145.771 3
1301.13 1745.88 190.748 3
1301.06 1745.86 251.936 3
1301.06 1745.9 -103.698 3
1301.09 1745.86 -70.7402 3
1297.28 1749.67 296.002 3
1297.31 1749.7 348.679 3
1297.3 1749.66 467.204 3
1297.31 1749.69 251.594 3
1301.03 1745.46 -229.805 3
1301.03 1745.49 25.8263 3
1297.15 1749.54 195.306 3
1297.15 1749.54 389.155 3
1300.32 1749.39 0.0261144 3
1300.32 1749.45 99.8053 3
1300.35 1749.45 -5.13003 3
1297.73 1749.73 53.6228 3
1297.74 1749.76 -127.48 3
1297.73 1749.73 141.903 3
1297.76 1749.7 61.2825 3
1296.94 1749.27 520.984 3
1296.96 1749.22 253.855 3
1297.01 1749.24 -1.0949 3
1296.57 1748.64 894.509 3
1296.54 1748.57 226.521 3
1296.54 1748.61 505.456 3
1301.07 1745.57 -12.602 3
1301.03 1745.54 -127.131 3
1301 1747.28 -7.69356 3
1301.03 1747.29 -56.4556 3
1301.04 1747.28 -98.4341 3
1301 1747.29 61.1326 3
1301.18 1745.86 -693.725 3
1301.19 1745.81 1182.2 3
1301.21 1745.86 84.3092 3
1297.62 1749.62 -166.246 3
1297.64 1749.6 -109.961 3
1297.68 1749.61 341.536 3
1297.66 1749.62 -184.519 3
1301.04 1746.85 -154.867 3
1301.05 1746.83 -1.85623 3
1301.08 1746.86 39.6281 3
1301.11 1746.85 462.352 3
1301.09 1746.82 26.8762 3
1301.08 1746.79 102.714 3
1299.6 1749.82 -83.09 3
1299.59 1749.79 335.086 3
1299.64 1749.77 -25.8446 3
1299.63 1749.79 16.8068 3
1299.64 1749.8 -62.1095 3
1299.58 1749.79 331.437 3
1296.73 1744.95 -50.4806 3
1301.12 1746.71 814.856 3
1296.88 1749.13 -60.4458 3
1296.86 1749.09 782.022 3
1296.82 1749.13 173.357 3
1296.85 1749.16 1965.68 3
1297.93 1749.84 -40.6792 3
1297.92 1749.77 -244.338 3
1297.39 1749.65 84.1495 3
1297.39 1749.62 378.601 3
1297.42 1749.66 103.207 3
1297.42 1749.63 73.7054 3
1296.55 1746.25 180.13 3
1296.5 1746.29 1369.34 3
1296.58 1746.26 506.65 3
1296.58 1746.29 -224.567 3
1296.53 1746.3 412.127 3
1296.57 1746.29 -449.45 3
1296.55 1746.24 251.115 3
1301.29 1745.42 -21.0202 3
1301.26 1745.44 1054.18 3
1301.3 1745.44 157.7 3
1296.68 1746.21 -31.7771 3
1296.66 1746.21 384.123 3
1299.23 1749.96 86.1746 3
1299.24 1749.92 -16.5779 3
1300.03 1749.57 293.152 3
1300 1749.6 -145.919 3
1300.02 1749.62 -535.623 3
1299.97 1749.61 489.035 3
1299.98 1749.6 -31.0717 3
1296.67 1746.6 89.226 3
1296.66 1746.55 -40.0597 3
1296.68 1746.55 -62.4797 3
1296.64 1746.59 228.212 3
1301.16 1745.55 -88.1242 3
1301.18 1745.59 575.65 3
1301.15 1745.59 80.5242 3
1301.11 1745.58 -10.0324 3
1296.65 1746.1 319.123 3
1296.68 1746.13 -192.264 3
1296.45 1748.01 1168.55 3
1296.42 1747.97 3639.84 3
1296.44 1748.05 100.176 3
1296.67 1747.26 196.067 3
1296.67 1747.23 169.597 3
1296.67 1747.29 134.715 3
1296.67 1747.23 171.197 3
1297.2 1749.56 107.533 3
1297.17 1749.53 1366.82 3
1297.23 1749.56 217.445 3
1297.48 1749.58 42.4443 3
1297.47 1749.59 -34.4217 3
1297.51 1749.56 47.5868 3
1297.76 1749.65 -16.8384 3
1297.71 1749.66 70.8409 3
1297.72 1749.67 -199.069 3
1296.46 1747.87 -290.164 3
1296.46 1747.87 103.087 3
1296.45 1747.84 178.694 3
1296.42 1747.87 2791.16 3
1301.08 1747.92 -261.53 3
1301.02 1747.97 -380.263 3
1300.35 1749.36 226.012 3
1300.4 1749.39 7.35717 3
1299.65 1749.87 -54.9348 3
